dfs_code	char	big5	old_class	new_class	old_extension_needed	new_extension_needed	reason
$1130	網	BAF4	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 网
$1165	餵	C1FD	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 喂
$1179	甕	C27C	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 瓮
$1187	汙	A6BE	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 污
$11B9	蓆	BB56	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 席
$11BF	係	AB59	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 系
$11BF	繫	C3B4	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 系
$11D5	纖	C5D6	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 縴
$11D6	鹹	C4D0	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 咸
$11DA	閒	B6A2	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 閑
$11DC	絃	B2CD	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 弦
$11E5	羨	B872	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 羡
$11FC	嚮	C251	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 向
$11FC	曏	E9B8	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 向
$121A	蠍	C3C8	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 蝎
$1229	洩	ACAA	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 泄
$1243	倖	ADC6	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 幸
$1248	兇	A5FB	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 凶
$1264	脩	B2E7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 修
$1271	鬚	C5BD	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 須
$127A	卹	A8F9	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 恤
$1283	鏇	F361	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 旋
$128F	勳	BEB1	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 勛
$1290	燻	C274	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 熏
$12AE	嚥	C360	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 咽
$12B6	巖	C5C9	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 岩
$12C2	豔	C676	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 艷
$12DB	癢	C46F	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 痒
$12EB	葯	DFD3	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 藥
$1336	異	B2A7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 异
$133B	廕	E1BA	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 蔭
$1374	傭	B6C4	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 佣
$1379	踴	BFE3	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 踊
$137D	湧	B4E9	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 涌
$1383	優	C075	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 优
$138C	遊	B943	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 游
$139E	餘	BE6C	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 余
$13A0	踰	EBC6	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 逾
$13A9	與	BB50	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 与
$13B2	鬱	C67B	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 郁
$13B3	籲	C67E	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 吁
$13B7	禦	BF6D	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 御
$13B8	癒	C2A1	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 愈
$13B9	慾	BCA4	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 欲
$13D4	願	C440	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 愿
$13DB	鈅	DC76	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 鑰
$13DC	嶽	C0AE	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 岳
$13E2	雲	B6B3	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 云
$13FA	讚	C667	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 贊
$13FC	髒	C5BC	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 臟
$180B	譟	C4B7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 噪
$180D	皁	CB71	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 皂
$181D	紮	B2CF	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 扎
$1836	霑	C04C	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 沾
$183E	佔	A6FB	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 占
$1883	鍼	EED3	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 針
$1898	癥	C470	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 症
$189A	證	C3D2	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 証
$18B1	隻	B0A6	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 只
$18B4	誌	BB78	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 志
$18B8	緻	BD6F	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 致
$18BC	製	BB73	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 制
$18C9	鐘	C4C1	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 鍾
$18CC	種	BAD8	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 种
$18D2	週	B667	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 周
$18E2	硃	B2B9	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 朱
$18F4	築	BF76	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 筑
$18F6	註	B5F9	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 注
$1907	莊	B2F8	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 庄
$1917	準	B7C7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 准
$1925	諮	BFD4	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 咨
$1947	鉆	E0B9	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 鑽
$1A37	塚	B6EF	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 冢
$1A80	謚	EEB0	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 諡
$1B03	塤	DCE4	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 壎
$1B2D	蕓	EAFC	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 芸
$1DCA	菴	B5DA	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 庵
$1DD7	懺	C462	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 忏
$281A	璿	C27B	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 璇
$2939	氂	E5F8	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 犛
$2982	餚	C061	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 肴
$298A	冑	AB60	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 胄
$29A1	醃	BE4D	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 腌
$29B8	羶	C3BB	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 膻
$29D8	燉	BF4C	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 炖
$2B8E	鷳	F871	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 鷴
$2C42	蟣	F0CA	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 虮
$2C60	蠔	C4AE	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 蚝
$2D2B	嫋	DCF5	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 裊
$2DA3	蹠	F0F9	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 跖
