data/text/text_3.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
	text_ram	wStringBuffer			text_ram	wStringBuffer		text_ram	wStringBuffer	wStringBuffer	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	text	 was			text_start			text_start		 was	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	line	stored in Box @			line	已寄放到盒子@		line	已寄放到盒子@	stored in Box @				…　シルフ　カンパニー
	text_ram	wBoxNumString 			text_ram	wBoxNumString		text_ram	wBoxNumString	wBoxNumString 		……西尔佛公司	……シルフカンパニー	
	text	.			text	。		text	。	.				
	prompt				prompt			prompt						
														
_CantDepositLastMonText::				_CantDepositLastMonText::										
	text	You can't deposit			text	不能寄放		text	寄放最后１只的话，	You can't deposit	You can’t use that now, because the last lure	之前使用的香水效果还留着！	まだ　まえに　つかった	まだ　まだ!
	line	the last #MON!			line	最後１隻寶可夢！		line	会弄出问题的吧？	the last #MON!	you used is still in effect.		コロンの　こうかが　のこってます！	おれには　しゅぎょうが　たりない
	prompt				prompt			prompt						ゲ
														
_BoxFullText::				_BoxFullText::										
	text	Oops! This Box is			text	哎呀！這個盒子		text	哎呀！	Oops! This Box is	Haha! This Gym is great!	嘿嘿嘿！这个道馆好的很哇！	にひひ！　この　ジムは　ええ！	にひひ!　この　ジムは　ええ!
	line	full of #MON.			line	已經裝滿寶可夢！		line	我这儿装满了宝可梦！	full of #MON.	It’s full of strong Trainers!	道馆里头美女多哇！	おんなのこ　ばっかし　じゃ！	おんなのこ　ばっかし　じゃ!
	prompt				prompt			prompt						
														
_MonIsTakenOutText::				_MonIsTakenOutText::										
	text_ram	wStringBuffer			text	取出了@		text	决定取出@	wStringBuffer	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	text	 is			text_ram	wStringBuffer		text_ram	wStringBuffer	 is	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	line	taken out.			text	！		text	！	taken out.				…　シルフ　カンパニー
	cont	Got @			line	領出了@		line	领出@	Got @		……西尔佛公司	……シルフカンパニー	
	text_ram	wStringBuffer			text_ram	wStringBuffer		text_ram	wStringBuffer	wStringBuffer				
	text	.			text	！		text	！	.				
	prompt				prompt			prompt						
														
_NoMonText::				_NoMonText::										
	text	What? There are			text	咦？這裡沒有		text	啥？	What? There are	There are Pokémon magazines on the shelves.	这里陈列着宝可梦的杂志！	ポケモンざっしが　ならんでる！	　ぽ　ぽ　
	line	no #MON here!			line	寄放任何寶可夢！		line	没有宝可梦寄放在我这儿？	no #MON here!				
	prompt				prompt			prompt			And Pokémon notebooks...	……宝可梦手册	……ポケモンてちょう	
														
_CantTakeMonText::				_CantTakeMonText::							And Pokémon graphs, too!	……宝可梦图表	……ポケモングラフ	
	text	You can't take			text	你已經不能再帶		text	就算你这么说，你也带不了	You can't take	You can’t carry any more Pewter Crunchies!	装不下更多的深灰米果了！？	もう　ニビあられ　もてないよ！？	おきゃくさん　もう　もてないよ@ゼ@
	line	any more #MON.			line	更多寶可夢了。		line	更多宝可梦了不是？	any more #MON.	Why do you have so many?	你怎么带了这么多！？	なんで　そんなに　もってるの！？	
					para	請先寄放		para	总之，要么先寄放宝可梦，	Deposit #MON				
	para	Deposit #MON			line	一隻寶可夢吧。		line	要么放生盒子里的再说？	first.	...Please eat them!	……吃完再来买呗！？	……ちゃんと　たべて！？	
	line	first.			prompt			prompt						
	prompt													
														
_PikachuUnhappyText::				_PikachuUnhappyText::										
					text	但是，@								
					text_ram	wcd6d								
	text_ram	wcd6d			text_start				そやけど　@　いやそうやで!		Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	text	 looks			line	不願意啊！			放生皮卡丘的话		Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	line	unhappy about it!												…　シルフ　カンパニー
	prompt				prompt							……西尔佛公司	……シルフカンパニー	
														
_ReleaseWhichMonText::				_ReleaseWhichMonText::				line	@	for @				
	text	Release which			text	要放生哪隻寶可夢？		text	要放生哪只宝可梦？	Release which	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	#MON?			done			done		#MON?	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	done													
														
_OnceReleasedText::				_OnceReleasedText::										
	text	Once released,			text	一旦放生，		text	一旦放生了，	Once released,	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	@			line	@		line	@	@	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	text_ram	wStringBuffer			text_ram	wStringBuffer		text_ram	wStringBuffer	wStringBuffer				…　シルフ　カンパニー
	text	 is			text_start			text_start		 is		……西尔佛公司	……シルフカンパニー	
	cont	gone forever. OK?			cont	就回不來了，確定嗎？		cont	可就回不来了，行不？	gone forever. OK?				
	done				done			done						
														
_MonWasReleasedText::				_MonWasReleasedText::										
	text_ram	wStringBuffer			text_ram	wStringBuffer		text_ram	wStringBuffer	wStringBuffer	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	text	 was			text_start			text_start		 was	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	line	released outside.			line	已被放生。		line	已被放生。	released outside.				…　シルフ　カンパニー
	cont	Bye @			cont	再見，@		cont	再见，@	Bye @		……西尔佛公司	……シルフカンパニー	
	text_ram	wStringBuffer			text_ram	wStringBuffer		text_ram	wStringBuffer	wStringBuffer				
	text	!			text	！		text	！	!				
	prompt				prompt			prompt						
														
_RequireCoinCaseText::				_RequireCoinCaseText::										
	text	A COIN CASE is			text	需要代幣盒！@		text	你没有代币盒呢！@	A COIN CASE is	A surfboard for beginners is propped up here!	这里摆着一块	すこし　ふるい　サーフボードが	ふるい　ポケモン　グッズが
	line	required!@			text_end			text_end		required!@		有些陈旧的冲浪板！	たてかけて　ある！	かざって　ある!
	text_end													
														
_ExchangeCoinsForPrizesText::				_ExchangeCoinsForPrizesText::										
	text	We exchange your			text	我們會將您的代幣		text	您在这里可以用代币	We exchange your	Oh, no need to pay!	啊，钱就不用给了！	あ　おだいは　けっこうですよ！	あ!　やせいの
	line	coins for prizes.			line	兌換成獎品！		line	兑换成精美奖品！	coins for prizes.	We hope you continue your support of your			@
	prompt				prompt			prompt				今后也请您	これからも	
											neighborhood Poké Mart!	多多光顾友好商店～	フレンドリィショップを　ごひいきにー	
_WhichPrizeText::				_WhichPrizeText::										
	text	Which prize do			text	要兌換		text	要选择	Which prize do	Which topic do you want to read?	要查看哪一个项目呢？	どの　こうもくを　みますか？	どの　ポケモンを
	line	you want?			line	哪個獎品呢？		line	哪个奖品呢？	you want?				にがすんや?
	done				done			done						
														
_HereYouGoText::				_HereYouGoText::										
	text	Here you go!@			text	請拿好！@		text	请拿好！@	Here you go!@	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	text_end				text_end			text_end			2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
														
_SoYouWantPrizeText::				_SoYouWantPrizeText::										
	text	So, you want			text	要兌換@		text	选择@	So, you want	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	@			text_ram	wcd6d		text_ram	wcd6d	@	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	text_ram	wcd6d			text_start			text_start		wcd6d				…　シルフ　カンパニー
	text	?			line	對嗎？		line	没问题吧？	?		……西尔佛公司	……シルフカンパニー	
	done				done			done						
														
_SorryNeedMoreCoinsText::				_SorryNeedMoreCoinsText::										
	text	Sorry, you need			text	這位客人，		text	这位客人，	Sorry, you need	You’ll need more money than that!	你的钱好像不够啊！	おかね　たりない　みたいだねえ	おかね　たりない　みたいだねえ
	line	more coins.@			line	您的代幣不夠呢。@		line	您的代币不够呢。@	more coins.@				
	text_end				text_end			text_end						
														
_OopsYouDontHaveEnoughRoomText::				_OopsYouDontHaveEnoughRoomText::										
	text	Oops! You don't			text	這位客人，		text	这位客人，	Oops! You don't	You don’t have enough dough.	你啊……	アナタさま……　さきだつ　ものが	…　おとくな　けいじばん!
	line	have enough room.@			line	您已經放不下了。@		line	您已经拿不下了。@	have enough room.@		最最重要的东西好像不太够噢？	たりませんよ？	ひとの　ポケモンは　ひとの　もの!
	text_end				text_end			text_end			...Dough means money, kid.			やせいの　ポケモンに　だけ
												最最重要的东西……	さきだつ　もの　とは	モンスターボールを　なげて
_OhFineThenText::				_OhFineThenText::								当然就是指钱咯！	……おかねの　こと　です	つかまえよう!
	text	Oh, fine then.@			text	好吧。@		text	哦，好的。@	Oh, fine then.@	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	text_end				text_end			text_end			2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
														
_GetDexRatedText::				_GetDexRatedText::										
	text	Want to get your			text	要讓大木博士		text	要接收当前	Want to get your	I assume you want to get strong.	你也想成为强者啊。	つよく　なりたいの　ですね	あたしも　つよく　なりたいの
	line	#DEX rated?			line	評價寶可夢圖鑑嗎？		line	宝可梦图鉴的评价吗？	#DEX rated?	Shall I be your battle opponent?	需要我来训练你吗？	わたしが　おあいて　しましょうか？	コツを　おしえて　くれない　かしら
	done				done			done						ゲ
														
_ClosedOaksPCText::				_ClosedOaksPCText::										
	text	Closed link to			text	……切斷了		text	……切断了	Closed link to	Well, I guess that’s that...	……好了好了！	……さてと！　じゃあ	ゲームの　プログラムだ!
	line	PROF.OAK's PC.@			line	與大木博士電腦的連線！@		line	与大木的电脑的连接！@	PROF.OAK's PC.@		那这个就先给你了。	これ　あげとくな	これ　かえたら　バグる　かも
	text_end				text_end			text_end			Here, take these. I won’t need ’em now!			
														
_AccessedOaksPCText::				_AccessedOaksPCText::										
	text	Accessed PROF.			text	連上了大木博士的電腦！		text	连接到了大木的电脑！	Accessed PROF.	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	OAK's PC.			para	啟動了		para	呼叫了	OAK's PC.	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
					line	寶可夢圖鑑評價系統！		line	宝可梦图鉴评价系统！	Accessed #DEX				…　シルフ　カンパニー
	para	Accessed #DEX			prompt			prompt		Rating System.		……西尔佛公司	……シルフカンパニー	
	line	Rating System.												
	prompt													
														
_ExpressionText::				_ExpressionText::										
	text	This expression is			text	表情的編號是			ナンバー　<#>　のひょうげんです！		Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	No. @			line	No. @			Debug文本		Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	text_decimal	wExpressionNumber, 1, 2 			text_decimal	wExpressionNumber, 1, 2 								…　シルフ　カンパニー
	text	.			text	。						……西尔佛公司	……シルフカンパニー	
	prompt				prompt									
														
_NotEnoughMemoryText::				_NotEnoughMemoryText::										
	text	Not enough Yellow			text	黃版的			イエローバージョンの		“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	Version memory.			line	記憶體空間不足。			メモリが たりません		2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	done				done				Debug文本					
														
_OakSpeechText1::				_OakSpeechText1::										
					IF DEF(_DEBUG)		MACRO							
					text	CURR_DATE								
					line	CURR_TIME								
					para	本版本為Debug測試版，								
					line	請勿外傳！！！								
					para	在標題畫面按SELECT								
					line	可以開啟測試選單								
					para	在地圖上按B移動								
					line	可跳過遇怪戰鬥等事件								
					para	玩家也可以在任何地方								
					line	使用飛翔切換地圖								
					ELSE		MACRO							
					text	你好！很高興見到你！								
					line	歡迎來到								
	text	Hello there!	YEUS		cont	寶可夢的世界！		text	CURR_DATE	Hello there!	Hello there! Glad to meet you!	你好！	はじめまして！	はじめまして!
	line	Welcome to the	YEJP		cont	精靈寶可夢的世界！		line	CURR_TIME	Welcome to the		很高兴见到你！		ポケットモンスターの　せかいへ
	cont	world of #MON!			para	我叫大木，大家都		para	本版本为Debug测试版，	world of #MON!	Welcome to the world of Pokémon!		ポケットモンスターの　せかいへ	ようこそ!
					line	親切地稱我為寶可夢博士。								
					ENDC		MACRO	line	请勿外传！！！	My name is OAK!		欢迎来到精灵宝可梦的世界！	ようこそ！	わたしの　なまえは　オーキド
	para	My name is OAK!			prompt			para	在标题画面按SELECT	People call me	My name is Oak.			みんなからは　ポケモン　はかせと
	line	People call me						line	可以打开测试菜单	the #MON PROF!		我叫大木，	わたしの　なまえは　オーキド	したわれて　おるよ
	cont	the #MON PROF!						para	在地图上按B移动		People affectionately refer to me as	大家都亲切地称我为	みんなからは　ポケモン　はかせと	
	prompt							line	可跳过包括遇怪战斗等事件		the Pokémon Professor.			
								para	以及玩家可以在任何地方			宝可梦博士。	したわれて　おるよ	
_OakSpeechText2A::				_OakSpeechText2A::				line	使用飞翔切换地图					
	text	This world is			text	在這個世界上，		text	在这个世界上，	This world is	This world is inhabited far and wide by creatures	在这个世界里，	この　せかいには	この　せかいには
	line	inhabited by			line	到處生活著一種		line	到处生活着一种	inhabited by	called Pokémon.	到处都生活着一种叫做	ポケットモンスターと　よばれる	ポケットモンスターと　よばれる
	cont	creatures called	YEUS		cont	叫做寶可夢的生物！@		cont	叫做宝可梦的生物！@	creatures called				いきもの　たちが
			YEJP		cont	叫做精靈寶可夢的生物！@								
	cont	#MON!@			text_end			cont	叫做精灵宝可梦的生物！@	#MON!@		精灵宝可梦的生物！	いきもの　たちが	いたるところに　すんでいる!@
	text_end							text_end						
													いたるところに　すんでいる！	
_OakSpeechText2B::				_OakSpeechText2B::				prompt						
	text $51,	For some people,			text_start			text_start			[VAR 01CD(0000)]: Hi!	[VAR TRNAME(0000)]：喂喂！	[VAR TRNAME(0000)]『ねぇねぇ	 {PLAYER} 『やあ!　さっきは
	line	#MON are			para	對有些人來說，		para	对有些人来说，	For some people,	Thanks for what you did for us.	刚才真是谢谢你了呢！	さっきは　ありがとっ！	 {5C} 　ありがとう!
	cont	pets. Others use			line	寶可夢是他們的寵物，		line	宝可梦是他们的宠物，	#MON are				 {PLAYER} 『…　なーに?
	cont	them for fights.			cont	也有人把它們用於對戰。		cont	也有人把它们用于对战。	pets. Others use	[VAR 01CD(0000)]: Pardon?	[VAR TRNAME(0000)]：……哎呀！	[VAR TRNAME(0000)]『……んもう！	 {PLAYER} 『ぼくの　まね　して
					para	至於我……		para	至于我……	them for fights.				そんなに　たのしい　かい?
	para	Myself...			para	身為博士，		para	作为一名博士，	Myself...	[VAR 01CD(0000)]: Wha—?	[VAR TRNAME(0000)]：你怎么又学我嘛！	[VAR TRNAME(0000)]『また　わたしの　マネ！	モノマネむすめ『うん…!
					line	我正在研究它們。		line	我正在研究它们。	I study #MON	Is it really that fun to copy what I say and do?	模仿我也没什么愉快的啦。	べつに　たのしいなら　いいけどさ	とっても　たのしいー!
	para	I study #MON			prompt			prompt		as a profession.				
	line	as a profession.									COPYCAT: You bet! It’s a scream!	模仿少女：嗯……！	モノマネむすめ『うん……！	
	prompt											非～常愉快哦！	とっても　たのしいー！	
														
_IntroducePlayerText::				_IntroducePlayerText::										
	text	First, what is			text	首先，告訴我		text	那么，先来说说	First, what is	What is your rival’s name?	你的对手的名字是……？	きみの　ライバルの　なまえは……？	うう…!
	line	your name?			line	你的名字吧！		line	你的名字吧！	your name?				くやしいが　きみの
	prompt				prompt			prompt						ポケモンの　うでは　ほんものだ!
														
_IntroduceRivalText::				_IntroduceRivalText::										
	text	This is my grand-			text	這是我的孫子，		text	这是我的孙子，	This is my grand-	This is my grandson.	这是我的孙子。	こいつは　わしの　まご	えーと?
	line	son. He's been			line	從你小時候起，		line	在你很小的时候，	son. He's been				なまえは　なんて　いったかな?
	cont	your rival since			cont	他就是你的對手。		cont	他就是你的对手了。	your rival since	...Erm, what was his name, now?	……呃，	……えーと？	
	cont	you were a baby.			para	……呃，		para	……呃，	you were a baby.		他是叫什么名字来着？	なまえは　なんて　いったかな？	
					line	他是叫什麼名字來著？		line	他是叫什么名字来着？	...Erm, what is				
	para	...Erm, what is			prompt			prompt		his name again?				
	line	his name again?												
	prompt													
														
_OakSpeechText3::				_OakSpeechText3::										
	text	<PLAYER>!			text	<PLAYER>！		text	<PLAYER>！	<PLAYER>!	Yes, a world of dreams and adventures with	充满梦想与冒险的	ゆめと　ぼうけんと！	トレーナーぞ
					para	接下來，		para	接下来，	Your very own	Pokémon awaits!	精灵宝可梦世界！	ポケットモンスターの　せかいへ！	きド5ま
	para	Your very own			line	你的故事就要開始了！		line	你的故事就要开始了！	#MON legend is				
	line	#MON legend is			para	充滿夢想與冒險的		para	充满梦想与冒险的	about to unfold!				
	cont	about to unfold!	YEUS		line	寶可夢世界！		line	宝可梦世界！	A world of dreams				
			YEJP		line	精靈寶可夢世界！								
					cont	出發吧！		line	精灵宝可梦世界！	and adventures				
	para	A world of dreams			done			cont	Let's go!	with #MON				
	line	and adventures						done		awaits! Let's go!				
	cont	with #MON												
	cont	awaits! Let's go!												
	done													
														
_DoYouWantToNicknameText::				_DoYouWantToNicknameText::										
	text	Do you want to			text	要給@		text	要给@	Do you want to	Hey, you!	嘿！你们想好没？	やぁ　きみたち！	…　そうか!
	line	give a nickname			text_ram	wcd6d		text_ram	wcd6d	give a nickname				おまえも　わざ　つかいか?
	cont	to @			text_start			text_start		to @	Do you want me to teach a marvelous move	要让那只[VAR PKNAME(0003)]	どうだい？　その　[VAR PKNAME(0003)]に	
	text_ram	wcd6d			line	取暱稱嗎？		line	起昵称吗？	wcd6d	to [VAR PKNAME(0003)]?	学学看棒呆了的招式吗？	マーベラスな　わざ　おしえてみる？	
	text	?			done			done		?				
	done													
														
_YourNameIsText::				_YourNameIsText::										
	text	Right! So your			text	這樣啊……原來你叫		text	这样啊……原来你叫	Right! So your	Right...	哦……	ふむ……　きみは	
	line	name is <PLAYER>!			line	<PLAYER>啊！		line	<PLAYER>啊！	name is <PLAYER>!	So your name is [VAR TRNAME(0000)]?	你叫[VAR TRNAME(0000)]啊！	[VAR TRNAME(0000)]　と　いうんだな！	 {PLAYER} 　と　いうんだな!
	prompt				prompt			prompt						へ
														
_HisNameIsText::				_HisNameIsText::										
	text	That's right! I			text	沒錯，沒錯！我想起來了，		text	没错，没错！我想起来了，	That's right! I	What a great battle!	刚才的对战太精彩了！	すばらしい　たたかい　だった！	はー　はーッ!
	line	remember now! His			line	他的名字是		line	原来他的名字叫	remember now! His	That’s what I expected from a Champion!	冠军不愧是冠军！	さすが　チャンピオン　だな！	はげしい　たたかい　だった!
	cont	name is <RIVAL>!			cont	<RIVAL>啊！		cont	<RIVAL>啊！	name is <RIVAL>!				きみの　かちだ!
	prompt				prompt			prompt			I didn’t stand a chance...	我确实完败于你……	かんぱい　だ……	いま…
											Please, accept this from me.	请你收下吧。	もらってくれ	その　あかしに
_WillBeTradedText::				_WillBeTradedText::										グりーン　バッジを　わたそう!@ジ@
	text_ram	wNameOfPlayerMonToBeTraded 			text_ram	wNameOfPlayerMonToBeTraded 		text_ram	wNameOfPlayerMonToBeTraded 	wNameOfPlayerMonToBeTraded 	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	text	 and			text	將和		text	将和	 and	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	line	@			line	@		line	@	@				…　シルフ　カンパニー
	text_ram	wcd6d			text_ram	wcd6d		text_ram	wcd6d	wcd6d		……西尔佛公司	……シルフカンパニー	
	text	 will			text_start			text_start		 will				
	cont	be traded.			cont	進行交換。		cont	进行交换。	be traded.				
	done				done			done						
														
_Colosseum3MonsText::				_Colosseum3MonsText::										
	text	You need 3 #MON			text	參加對戰需要			たたかうポケモンの　かずが		Phew. I’ll take a little break...	呼，稍微休息一下……	ふぅ　ちょっと　きゅうけい……	…　おとくな　けいじばん!
	line	to fight!			line	３隻寶可夢！			3たいに　なっていません!		You need to take breaks when playing games.			ポケモンを　つかまえる　ときは
	prompt				prompt							玩游戏的时候，	ゲームで　あそぶ　ときは	なるべく　よわらせてから!
												怎么能缺少适当的休息呢？	てきどに　きゅうけい　しなきゃね	ポケモンが　げんきだと
_ColosseumMewText::				_ColosseumMewText::										にげるかも　しれないよ!
	text	Sorry, MEW can't			text	夢幻無法參加！			ミュウは　エントりー　できません!		Lapras can’t swim like it used to...	它现在已经不太能游泳了……	ラプラスは　もう　あんまり	わたしが　かわいがってた　ポケモン
	line	attend!											およげない　から……	いまは　ポケモン　タワーで
	prompt				prompt						So we’ll stay here together.	所以我以后也要在这里		ねむってるの…
												一直一直陪在它身边……	あとは　おれも　ここで	…　そうだ　わたしの　 {5C} 
_ColosseumDifferentMonsText::				_ColosseumDifferentMonsText::									ずっと　そばに　いてやるんだ	おにいちゃんに　あげるわ
	text	Your #MON must			text	寶可夢必須			おなじ　ポケモンが		You must be a nerd, too!	看来你也是真心喜欢自行车！	キミも　そうとうな　マニアだね！	ごゆっくり　どうぞ!
	line	all be different!			line	全部不同！			2たい　います!		As a token of our new friendship, please	请你收下你我友情的象征！	おちかづきの　しるしを　どうぞ！	
	prompt				prompt									
											take this!			
_ColosseumMaxL55Text::				_ColosseumMaxL55Text::										
	text	No #MON can			text	不能有超過等級55的			レべルが　55を　こえる		You have no more Pokémon that can fight!	[VAR TRNAME(0000)]的手上没有	[VAR TRNAME(0000)]の　てもとには	 {PLAYER} の　てもとには
	line	exceed L55!			line	寶可夢！			ポケモンが　いるようです!			可以战斗的宝可梦！	たたかえる　ポケモンが　いない！	たたかえる　ポケモンが　いない!
	prompt				prompt									 {PLAYER} は
														めのまえが　まっくらに　なった!
_ColosseumMinL50Text::				_ColosseumMinL50Text::										
	text	All #MON must			text	所有寶可夢都必須			レべルが　50に　ならない		Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	be at least L50!			line	至少等級50！			ポケモンが　いるようです!		Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	prompt				prompt									…　シルフ　カンパニー
												……西尔佛公司	……シルフカンパニー	
_ColosseumTotalL155Text::				_ColosseumTotalL155Text::										
	text	Your total levels			text	等級總和不能超過155！			レべルの　ごうけいが　155を		“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	exceed 155!							こえているようです!		2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	prompt				prompt									
														
_ColosseumMaxL30Text::				_ColosseumMaxL30Text::										
	text	No #MON can			text	不能有超過等級30的			レべルが　30を　こえる		You have no more Pokémon that can fight!	[VAR TRNAME(0000)]的手上没有	[VAR TRNAME(0000)]の　てもとには	 {PLAYER} の　てもとには
	line	exceed L30!			line	寶可夢！			ポケモンが　いるようです!			可以战斗的宝可梦！	たたかえる　ポケモンが　いない！	たたかえる　ポケモンが　いない!
	prompt				prompt									 {PLAYER} は
														めのまえが　まっくらに　なった!
_ColosseumMinL25Text::				_ColosseumMinL25Text::										
	text	All #MON must			text	所有寶可夢都必須			レべルが　25に　ならない		Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	be at least L25!			line	至少等級25！			ポケモンが　いるようです!		Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	prompt				prompt									…　シルフ　カンパニー
												……西尔佛公司	……シルフカンパニー	
_ColosseumTotalL80Text::				_ColosseumTotalL80Text::										
	text	Your total levels			text	等級總和不能超過80！			レべルの　ごうけいが　80を		“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	exceed 80!							こえているようです!		2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	prompt				prompt									
														
_ColosseumMaxL20Text::				_ColosseumMaxL20Text::										
	text	No #MON can			text	不能有超過等級20的			レべルが　20を　こえる		You have no more Pokémon that can fight!	[VAR TRNAME(0000)]的手上没有	[VAR TRNAME(0000)]の　てもとには	 {PLAYER} の　てもとには
	line	exceed L20!			line	寶可夢！			ポケモンが　いるようです!			可以战斗的宝可梦！	たたかえる　ポケモンが　いない！	たたかえる　ポケモンが　いない!
	prompt				prompt									 {PLAYER} は
														めのまえが　まっくらに　なった!
_ColosseumMinL15Text::				_ColosseumMinL15Text::										
	text	All #MON must			text	所有寶可夢都必須			レべルが　15に　ならない		Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	be at least L15!			line	至少等級15！			ポケモンが　いるようです!		Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	prompt				prompt									…　シルフ　カンパニー
												……西尔佛公司	……シルフカンパニー	
_ColosseumTotalL50Text::				_ColosseumTotalL50Text::										
	text	Your total levels			text	等級總和不能超過50！			レべルの　ごうけいが　50を		“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	exceed 50!							こえているようです!		2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	prompt				prompt									
														
_ColosseumHeightText::				_ColosseumHeightText::										
	text_ram	wcd6d			text_ram	wcd6d			の　たかさが		Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	text	 is over			text_start				2メートルを　こえています!		Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	line	6’8” tall!			line	身高超過２公尺！								…　シルフ　カンパニー
	prompt				prompt							……西尔佛公司	……シルフカンパニー	
														
_ColosseumWeightText::				_ColosseumWeightText::										
	text_ram	wcd6d			text_ram	wcd6d			の　おもさが		Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
